Family,Gene
G1412_CDS_4356,"['AC5204_G1324_CDS_5337', 'G1412_CDS_4356', 'GCA_025818255.1_CDS_3107']"
GCA_027922385.1_CDS_2591,['GCA_027922385.1_CDS_2591']
GCA_027529805.1_CDS_5843,"['GCA_001813885.1_CDS_1266', 'GCA_027529805.1_CDS_5843']"
DC32_G1318_CDS_5277,['DC32_G1318_CDS_5277']
G1412_CDS_6674,['G1412_CDS_6674']
GCA_028745525.1_CDS_0939,['GCA_028745525.1_CDS_0939']
NJ810_G1325_CDS_4056,['NJ810_G1325_CDS_4056']
DC32_G1318_CDS_3287,"['DC32_G1318_CDS_3287', 'HH1101_G1394_CDS_4078', 'JMCD_G1433_CDS_1967']"
GCA_033096405.1_CDS_4458,['GCA_033096405.1_CDS_4458']
GCA_001566985.1_CDS_4839,"['GCA_001566985.1_CDS_4839', 'GCA_025426095.1_CDS_1366', 'JMCD_G1432_CDS_6027']"
GCA_027922385.1_CDS_1857,['GCA_027922385.1_CDS_1857']
AC5204_G1324_CDS_0701,['AC5204_G1324_CDS_0701']
JMCD_G1432_CDS_4454,['JMCD_G1432_CDS_4454']
GCA_000186185.1_CDS_0810,['GCA_000186185.1_CDS_0810']
GCA_038024675.1_CDS_2486,['GCA_038024675.1_CDS_2486']
GCA_000165835.1_CDS_4731,"['GCA_000165835.1_CDS_4731', 'GCA_017745625.1_CDS_0614', 'GCF_002192695.1_CDS_6158', 'GCF_002192705.1_CDS_4476', 'NJ7201_G1323_CDS_2963']"
AC5204_G1324_CDS_2643,['AC5204_G1324_CDS_2643']
DC32_G1318_CDS_2416,"['DC32_G1318_CDS_2416', 'GCA_000508285.1_CDS_2822', 'GCA_000967095.1_CDS_4606', 'HH1101_G1394_CDS_5950', 'JMCD_G1434_CDS_0811', 'NJ810_G1325_CDS_2368']"
GCA_000508285.1_CDS_1192,"['GCA_000508285.1_CDS_1192', 'GCA_001457475.1_CDS_1166', 'GCA_013343135.1_CDS_4805', 'GCA_016027035.1_CDS_6036', 'GCA_022870085.1_CDS_4293']"
GCA_003503255.1_CDS_5922,"['GCA_003503255.1_CDS_5922', 'GCA_014353695.1_CDS_2809', 'GCA_014490035.1_CDS_2711', 'GCA_014529725.1_CDS_0640']"
JMCD_G1432_CDS_7474,"['GCA_001298895.1_CDS_5010', 'GCA_001299155.1_CDS_5518', 'JMCD_G1432_CDS_7474', 'JMCD_G1433_CDS_7578', 'JMCD_G1434_CDS_7832']"
GCA_001641525.1_CDS_1656,"['GCA_001566985.1_CDS_0722', 'GCA_001641525.1_CDS_1656', 'GCF_001641525.1_CDS_1691', 'GCF_009363015.1_CDS_1049']"
G1412_CDS_6723,['G1412_CDS_6723']
GCA_032703345.1_CDS_0198,['GCA_032703345.1_CDS_0198']
GCA_003503255.1_CDS_2548,"['GCA_000165835.1_CDS_5719', 'GCA_003503255.1_CDS_2548', 'GCA_014353695.1_CDS_4387', 'GCA_014490035.1_CDS_0706', 'GCA_014529725.1_CDS_5376', 'GCA_027922385.1_CDS_3607']"
GCA_900009125.1_CDS_2468,['GCA_900009125.1_CDS_2468']
PCF1_G1401_CDS_4615,['PCF1_G1401_CDS_4615']
GCA_027922385.1_CDS_3579,['GCA_027922385.1_CDS_3579']
GCA_000508285.1_CDS_3800,['GCA_000508285.1_CDS_3800']
GCA_001707475.1_CDS_1031,['GCA_001707475.1_CDS_1031']
G1412_CDS_2831,"['AC5204_G1324_CDS_6931', 'G1412_CDS_2831']"
AC5204_G1324_CDS_3176,['AC5204_G1324_CDS_3176']
GCA_017745625.1_CDS_4634,['GCA_017745625.1_CDS_4634']
GCF_002192695.1_CDS_2484,"['GCF_002192695.1_CDS_2484', 'GCF_009363015.1_CDS_5438']"
GCA_900010105.1_CDS_0078,['GCA_900010105.1_CDS_0078']
GCA_001957065.1_CDS_2558,"['GCA_001558755.2_CDS_1370', 'GCA_001957065.1_CDS_2558', 'GCA_025818255.1_CDS_1504', 'GCA_033096405.1_CDS_0122']"
JMCD_G1432_CDS_4989,"['AC5204_G1324_CDS_5918', 'JMCD_G1432_CDS_4989']"
GCA_034424885.1_CDS_1689,"['GCA_034424885.1_CDS_1689', 'GCA_034424905.1_CDS_2071', 'GCA_034424925.1_CDS_2073']"
GCA_001707475.1_CDS_1228,"['GCA_001559195.2_CDS_5488', 'GCA_001707475.1_CDS_1228']"
GCF_001641525.1_CDS_3117,"['GCA_001641525.1_CDS_3044', 'GCF_001641525.1_CDS_3117']"
GCA_001299235.1_CDS_0675,"['GCA_001299055.1_CDS_2929', 'GCA_001299235.1_CDS_0675']"
GCA_001299095.1_CDS_1194,"['GCA_001299095.1_CDS_1194', 'GCA_001299295.1_CDS_2453', 'GCA_016403305.1_CDS_6283', 'GCA_016728825.1_CDS_2945', 'GCA_023703405.1_CDS_1698', 'GCA_034078005.1_CDS_2592']"
GCA_027922385.1_CDS_4743,['GCA_027922385.1_CDS_4743']
GCA_001566985.1_CDS_1554,['GCA_001566985.1_CDS_1554']
GCF_001541435.1_CDS_2613,"['GCA_001541435.1_CDS_2564', 'GCF_001541435.1_CDS_2613']"
GCA_000165835.1_CDS_6142,"['GCA_000165835.1_CDS_6142', 'NJ7201_G1323_CDS_0256']"
GCA_900475575.1_CDS_1170,"['GCA_000508285.1_CDS_3426', 'GCA_900475575.1_CDS_1170']"
GCF_009363015.1_CDS_5312,['GCF_009363015.1_CDS_5312']
GCF_002192705.1_CDS_5009,['GCF_002192705.1_CDS_5009']
GCF_002192705.1_CDS_6128,['GCF_002192705.1_CDS_6128']
GCA_000186185.1_CDS_0886,['GCA_000186185.1_CDS_0886']
GCA_000165835.1_CDS_4610,['GCA_000165835.1_CDS_4610']
GCF_002192705.1_CDS_0769,"['GCA_027922385.1_CDS_1414', 'GCF_002192695.1_CDS_4380', 'GCF_002192705.1_CDS_0769', 'NJ7201_G1323_CDS_3107']"
GCA_016403305.1_CDS_0110,"['GCA_016403305.1_CDS_0110', 'GCA_016728825.1_CDS_3070', 'GCA_025426095.1_CDS_2104']"
GCA_017745625.1_CDS_0932,"['GCA_001957065.1_CDS_3347', 'GCA_017745625.1_CDS_0932']"
EHB_G1408_CDS_2026,"['EHA_G1407_CDS_1636', 'EHB_G1408_CDS_2026']"
GCA_001299155.1_CDS_5576,['GCA_001299155.1_CDS_5576']
GCA_017745625.1_CDS_1999,['GCA_017745625.1_CDS_1999']
GCA_022444285.1_CDS_1926,['GCA_022444285.1_CDS_1926']
JMCD_G1434_CDS_1704,['JMCD_G1434_CDS_1704']
AC5204_G1324_CDS_4127,"['AC5204_G1324_CDS_4127', 'HH1101_G1394_CDS_0124']"
EHD_G1410_CDS_4861,"['EHC_G1409_CDS_5861', 'EHD_G1410_CDS_4861']"
JMCD_G1433_CDS_2325,['JMCD_G1433_CDS_2325']
HH1101_G1394_CDS_4295,['HH1101_G1394_CDS_4295']
GCA_001299335.1_CDS_5621,"['GCA_001299335.1_CDS_5621', 'GCA_001815425.1_CDS_1850', 'GCA_001957055.1_CDS_3978', 'GCA_022488515.1_CDS_5541', 'GCA_028745525.1_CDS_5043']"
GCA_001298795.1_CDS_0736,"['GCA_001298795.1_CDS_0736', 'GCA_001299195.1_CDS_0142', 'GCA_027529815.1_CDS_3775']"
GCF_002192705.1_CDS_3520,"['GCF_002192695.1_CDS_4601', 'GCF_002192705.1_CDS_3520']"
GCA_001707485.1_CDS_3130,"['GCA_001707485.1_CDS_3130', 'GCA_027922385.1_CDS_3471', 'GCF_001707485.1_CDS_3225']"
JMCD_G1434_CDS_7797,"['GCA_001298895.1_CDS_4996', 'JMCD_G1432_CDS_7507', 'JMCD_G1433_CDS_7614', 'JMCD_G1434_CDS_7797']"
GCA_033096405.1_CDS_6371,['GCA_033096405.1_CDS_6371']
JMCD_G1432_CDS_6233,"['AC5204_G1324_CDS_7266', 'JMCD_G1432_CDS_6233']"
GCA_010815595.1_CDS_2819,['GCA_010815595.1_CDS_2819']
GCA_025818255.1_CDS_1025,"['GCA_001957065.1_CDS_1915', 'GCA_025818255.1_CDS_1025', 'GCA_033096405.1_CDS_1786']"
GCA_017745625.1_CDS_5354,['GCA_017745625.1_CDS_5354']
GCA_001299265.1_CDS_4635,"['GCA_001298935.1_CDS_0640', 'GCA_001299265.1_CDS_4635', 'GCA_001299335.1_CDS_5729', 'GCA_900009115.1_CDS_5690']"
EHA_G1407_CDS_4390,"['EHA_G1407_CDS_4390', 'EHB_G1408_CDS_1733', 'EHC_G1409_CDS_2636', 'EHD_G1410_CDS_1680']"
JMCD_G1433_CDS_7607,"['GCA_001298895.1_CDS_4987', 'GCA_001299155.1_CDS_5578', 'JMCD_G1432_CDS_7501', 'JMCD_G1433_CDS_7607', 'JMCD_G1434_CDS_7803']"
GCA_000165835.1_CDS_0918,['GCA_000165835.1_CDS_0918']
AC5204_G1324_CDS_4489,['AC5204_G1324_CDS_4489']
G1414_CDS_3604,['G1414_CDS_3604']
NJ7201_G1323_CDS_0683,['NJ7201_G1323_CDS_0683']
GCA_027529815.1_CDS_5855,['GCA_027529815.1_CDS_5855']
GCA_001815885.1_CDS_0807,['GCA_001815885.1_CDS_0807']
GCA_017745625.1_CDS_5377,"['GCA_000165835.1_CDS_3079', 'GCA_017745625.1_CDS_5377']"
GCA_017745625.1_CDS_3701,['GCA_017745625.1_CDS_3701']
GCF_001641525.1_CDS_3865,"['GCA_001641525.1_CDS_3770', 'GCF_001641525.1_CDS_3865']"
G1413_CDS_2712,"['G1412_CDS_2752', 'G1413_CDS_2712', 'G1414_CDS_2854', 'GCA_001299175.1_CDS_1136', 'GCF_001541435.1_CDS_1288']"
GCA_001558915.2_CDS_3855,['GCA_001558915.2_CDS_3855']
AC5204_G1324_CDS_7061,['AC5204_G1324_CDS_7061']
GCA_000967095.1_CDS_4893,"['GCA_000508285.1_CDS_3089', 'GCA_000967095.1_CDS_4893']"
EHA_G1407_CDS_1091,"['EHA_G1407_CDS_1091', 'EHB_G1408_CDS_0186', 'EHC_G1409_CDS_1509', 'EHD_G1410_CDS_0861', 'G1413_CDS_4749', 'G1414_CDS_0860', 'PCF1_G1423_CDS_2141']"
GCA_034424885.1_CDS_1085,"['GCA_034424885.1_CDS_1085', 'GCA_034424905.1_CDS_1302', 'GCA_034424925.1_CDS_1014']"
PCF1_G1401_CDS_4803,['PCF1_G1401_CDS_4803']
HH1101_G1394_CDS_1445,"['AC5204_G1324_CDS_1156', 'DC32_G1318_CDS_5489', 'GCA_022488505.1_CDS_4886', 'HH1101_G1394_CDS_1445', 'JMCD_G1434_CDS_5756']"
GCA_017745625.1_CDS_5342,['GCA_017745625.1_CDS_5342']
GCA_033096405.1_CDS_2575,"['GCA_001957065.1_CDS_1482', 'GCA_025818255.1_CDS_2794', 'GCA_033096405.1_CDS_2575']"
AC5204_G1324_CDS_2176,['AC5204_G1324_CDS_2176']
GCA_027922385.1_CDS_3493,['GCA_027922385.1_CDS_3493']
GCA_000165835.1_CDS_6636,['GCA_000165835.1_CDS_6636']
GCA_900009125.1_CDS_2159,['GCA_900009125.1_CDS_2159']
GCA_001957065.1_CDS_1618,['GCA_001957065.1_CDS_1618']
GCA_017745625.1_CDS_3468,['GCA_017745625.1_CDS_3468']
PCF1_G1423_CDS_2993,['PCF1_G1423_CDS_2993']
GCA_017745625.1_CDS_0233,"['GCA_017745625.1_CDS_0233', 'GCF_002192695.1_CDS_3743', 'GCF_002192705.1_CDS_1678']"
GCA_001299155.1_CDS_0433,['GCA_001299155.1_CDS_0433']
GCF_002192705.1_CDS_6434,"['GCA_027922385.1_CDS_0295', 'GCF_002192695.1_CDS_6033', 'GCF_002192705.1_CDS_6434']"
GCA_022444285.1_CDS_3255,['GCA_022444285.1_CDS_3255']
GCF_002192705.1_CDS_4032,['GCF_002192705.1_CDS_4032']
GCA_001299055.1_CDS_4528,['GCA_001299055.1_CDS_4528']
GCA_027922385.1_CDS_3117,['GCA_027922385.1_CDS_3117']
GCA_000967095.1_CDS_1739,['GCA_000967095.1_CDS_1739']
GCA_000165835.1_CDS_6539,"['GCA_000165835.1_CDS_6539', 'GCA_001299335.1_CDS_6125', 'GCA_001807115.1_CDS_4129', 'GCA_023703405.1_CDS_3411', 'GCF_002192695.1_CDS_2491']"
GCA_001051055.1_CDS_1128,['GCA_001051055.1_CDS_1128']
GCF_001641525.1_CDS_3202,"['GCA_001641525.1_CDS_3128', 'GCA_001957065.1_CDS_4215', 'GCA_033096405.1_CDS_5547', 'GCF_001641525.1_CDS_3202']"
NJ7201_G1323_CDS_3563,"['GCA_000165835.1_CDS_3973', 'GCA_034078005.1_CDS_6222', 'GCF_002192695.1_CDS_6314', 'NJ7201_G1323_CDS_3563']"
EHA_G1407_CDS_0882,"['EHA_G1407_CDS_0882', 'EHB_G1408_CDS_0395', 'EHC_G1409_CDS_1719', 'EHD_G1410_CDS_0651', 'GCA_001299235.1_CDS_0865', 'GCA_001299415.1_CDS_1766', 'GCA_027529585.1_CDS_4395']"
G1414_CDS_1605,"['G1413_CDS_3980', 'G1414_CDS_1605']"
GCA_000967095.1_CDS_5473,"['GCA_000967095.1_CDS_5473', 'GCA_001298915.1_CDS_0620', 'GCA_025426095.1_CDS_2150', 'GCF_001541435.1_CDS_5428']"
GCA_022488545.1_CDS_1622,['GCA_022488545.1_CDS_1622']
GCA_040438975.1_CDS_0084,['GCA_040438975.1_CDS_0084']
GCA_038024685.1_CDS_1071,"['GCA_038024675.1_CDS_4041', 'GCA_038024685.1_CDS_1071']"
GCA_001558915.2_CDS_0187,"['GCA_001299055.1_CDS_6351', 'GCA_001558915.2_CDS_0187']"
GCA_000186185.1_CDS_0660,['GCA_000186185.1_CDS_0660']
GCA_001299265.1_CDS_1786,"['GCA_000967095.1_CDS_3584', 'GCA_001299265.1_CDS_1786', 'GCA_001815885.1_CDS_4085', 'GCA_001957045.1_CDS_0533', 'GCA_001957065.1_CDS_1552', 'GCA_027529815.1_CDS_1194', 'GCA_034078005.1_CDS_2525']"
PCF1_G1423_CDS_6143,['PCF1_G1423_CDS_6143']
JMCD_G1432_CDS_5035,"['JMCD_G1432_CDS_5035', 'JMCD_G1433_CDS_0762', 'JMCD_G1434_CDS_0776']"
G1412_CDS_2953,"['G1412_CDS_2953', 'G1413_CDS_2906', 'G1414_CDS_2651', 'PCF1_G1401_CDS_2294', 'PCF1_G1423_CDS_0304']"
GCA_038024235.1_CDS_0116,"['GCA_022488515.1_CDS_3327', 'GCA_038024235.1_CDS_0116']"
GCA_003503255.1_CDS_0051,['GCA_003503255.1_CDS_0051']
GCA_001299295.1_CDS_1432,"['GCA_001299295.1_CDS_1432', 'GCA_008631215.1_CDS_4421', 'GCA_013282235.1_CDS_4078', 'GCA_016599195.1_CDS_1452', 'GCA_027529585.1_CDS_0433', 'GCA_036035015.1_CDS_4537', 'GCA_044069285.1_CDS_3979']"
GCA_038024685.1_CDS_0819,"['GCA_038024675.1_CDS_3785', 'GCA_038024685.1_CDS_0819']"
AC5204_G1324_CDS_3481,"['AC5204_G1324_CDS_3481', 'JMCD_G1433_CDS_3286', 'JMCD_G1434_CDS_3365']"
AC5204_G1324_CDS_7099,['AC5204_G1324_CDS_7099']
GCA_001457475.1_CDS_3384,"['GCA_001457475.1_CDS_3384', 'GCA_013343135.1_CDS_0880', 'GCA_016027035.1_CDS_3824', 'GCA_022870085.1_CDS_2081', 'GCA_039674625.1_CDS_1745', 'GCA_900475575.1_CDS_3383']"
JMCD_G1432_CDS_0926,"['JMCD_G1432_CDS_0926', 'JMCD_G1433_CDS_4904', 'JMCD_G1433_CDS_4906', 'JMCD_G1434_CDS_5034']"
GCA_001051055.1_CDS_3006,"['GCA_001051055.1_CDS_3006', 'GCA_001558755.2_CDS_5662']"
GCA_022488545.1_CDS_1352,"['GCA_001558915.2_CDS_0180', 'GCA_001558915.2_CDS_1964', 'GCA_001957055.1_CDS_0113', 'GCA_022488545.1_CDS_1352']"
GCA_003293615.1_CDS_5662,['GCA_003293615.1_CDS_5662']
GCA_022488545.1_CDS_0972,['GCA_022488545.1_CDS_0972']
PCF1_G1423_CDS_5328,['PCF1_G1423_CDS_5328']
JMCD_G1434_CDS_4803,['JMCD_G1434_CDS_4803']
GCA_001298895.1_CDS_0437,['GCA_001298895.1_CDS_0437']
GCF_001641525.1_CDS_0469,['GCF_001641525.1_CDS_0469']
GCA_001815885.1_CDS_0833,['GCA_001815885.1_CDS_0833']
JMCD_G1434_CDS_7876,['JMCD_G1434_CDS_7876']
GCA_001566985.1_CDS_1846,"['GCA_001566985.1_CDS_1846', 'GCA_001641525.1_CDS_1064', 'GCF_001641525.1_CDS_1093', 'GCF_009363015.1_CDS_0272']"
G1413_CDS_2978,['G1413_CDS_2978']
GCA_001299035.1_CDS_5407,['GCA_001299035.1_CDS_5407']
GCA_022444285.1_CDS_1023,['GCA_022444285.1_CDS_1023']
NJ810_G1325_CDS_3913,['NJ810_G1325_CDS_3913']
AC5204_G1324_CDS_3011,['AC5204_G1324_CDS_3011']
GCA_001559195.2_CDS_1669,['GCA_001559195.2_CDS_1669']
JMCD_G1434_CDS_7864,['JMCD_G1434_CDS_7864']
GCA_001566985.1_CDS_4793,"['GCA_001566985.1_CDS_4793', 'GCA_001641525.1_CDS_5072', 'GCF_001641525.1_CDS_5204', 'GCF_009363015.1_CDS_3157']"
GCA_010815595.1_CDS_2160,"['GCA_001299335.1_CDS_4319', 'GCA_010815595.1_CDS_2160']"
GCA_036035015.1_CDS_5706,"['GCA_001299035.1_CDS_4652', 'GCA_036035015.1_CDS_5706']"
GCF_002192705.1_CDS_2710,['GCF_002192705.1_CDS_2710']
PCF1_G1401_CDS_2489,"['JMCD_G1432_CDS_5591', 'PCF1_G1401_CDS_2489']"
GCA_001299175.1_CDS_1095,"['GCA_001298915.1_CDS_0627', 'GCA_001299175.1_CDS_1095', 'GCA_023703405.1_CDS_2589', 'GCA_023703405.1_CDS_4979', 'GCA_023703405.1_CDS_5077']"
G1414_CDS_3560,['G1414_CDS_3560']
GCA_017745625.1_CDS_3822,['GCA_017745625.1_CDS_3822']
GCA_001566985.1_CDS_2804,['GCA_001566985.1_CDS_2804']
GCA_001299295.1_CDS_0732,['GCA_001299295.1_CDS_0732']
GCA_025426095.1_CDS_0756,"['GCA_001299095.1_CDS_0077', 'GCA_016403305.1_CDS_4867', 'GCA_016728825.1_CDS_1529', 'GCA_023703405.1_CDS_3948', 'GCA_025426095.1_CDS_0756', 'GCA_036527295.1_CDS_3170', 'GCA_042235685.1_CDS_2248']"
GCA_001275865.1_CDS_0210,"['AC5204_G1324_CDS_1468', 'G1413_CDS_0562', 'GCA_000186185.1_CDS_0545', 'GCA_001275865.1_CDS_0210', 'GCA_001298915.1_CDS_4920', 'GCA_001299195.1_CDS_4092', 'GCA_001815425.1_CDS_1600']"
GCF_002192705.1_CDS_2723,['GCF_002192705.1_CDS_2723']
GCA_000967095.1_CDS_5480,"['GCA_000967095.1_CDS_5480', 'GCA_001299335.1_CDS_4337', 'GCA_022444285.1_CDS_6282', 'GCA_022488505.1_CDS_0815', 'GCA_029837755.1_CDS_4869', 'GCF_029837835.1_CDS_5395']"
GCA_034424885.1_CDS_1348,"['GCA_013413495.1_CDS_4655', 'GCA_034424885.1_CDS_1348', 'GCA_034424905.1_CDS_1031', 'GCA_034424925.1_CDS_0066', 'GCF_002192695.1_CDS_1182']"
GCA_000508285.1_CDS_3507,['GCA_000508285.1_CDS_3507']
GCA_000508285.1_CDS_3435,"['GCA_000508285.1_CDS_3435', 'GCA_001299035.1_CDS_0809', 'GCA_001457475.1_CDS_3390', 'GCA_013343135.1_CDS_0886', 'GCA_016027035.1_CDS_3818', 'GCA_022870085.1_CDS_2075', 'GCA_900475575.1_CDS_3389']"
JMCD_G1432_CDS_7510,"['JMCD_G1432_CDS_7510', 'JMCD_G1433_CDS_7617', 'JMCD_G1434_CDS_7794']"
GCA_003503255.1_CDS_6191,"['GCA_003503255.1_CDS_6191', 'GCA_014353695.1_CDS_0090', 'GCA_014490035.1_CDS_4268', 'GCA_014529725.1_CDS_1051']"
GCA_001299155.1_CDS_1229,"['GCA_001299155.1_CDS_1229', 'GCA_001299295.1_CDS_2430', 'GCA_022444285.1_CDS_3270', 'GCA_022488505.1_CDS_6385', 'GCA_029837755.1_CDS_4829', 'GCF_029837835.1_CDS_5355', 'NJ7201_G1323_CDS_1419']"
GCA_016599195.1_CDS_3368,"['GCA_016599195.1_CDS_3368', 'NJ7201_G1323_CDS_2361']"
GCA_001299015.1_CDS_4304,"['GCA_001299015.1_CDS_4304', 'PCF1_G1401_CDS_0979']"
GCA_000165835.1_CDS_6653,['GCA_000165835.1_CDS_6653']
GCA_013282255.1_CDS_2042,['GCA_013282255.1_CDS_2042']
GCA_000967095.1_CDS_0826,['GCA_000967095.1_CDS_0826']
GCF_009363015.1_CDS_0709,"['GCA_001566985.1_CDS_3798', 'GCA_001641525.1_CDS_3759', 'GCF_001641525.1_CDS_3852', 'GCF_009363015.1_CDS_0709']"
DC32_G1318_CDS_3789,"['DC32_G1318_CDS_3789', 'JMCD_G1432_CDS_3260', 'JMCD_G1433_CDS_2537', 'JMCD_G1434_CDS_2586', 'NJ810_G1325_CDS_3791']"
G1414_CDS_0635,"['G1414_CDS_0635', 'PCF1_G1388_CDS_0046', 'PCF1_G1423_CDS_2369']"
GCA_027529565.1_CDS_2945,['GCA_027529565.1_CDS_2945']
DC32_G1318_CDS_2456,['DC32_G1318_CDS_2456']
JMCD_G1433_CDS_5920,"['JMCD_G1432_CDS_7376', 'JMCD_G1433_CDS_5920', 'JMCD_G1434_CDS_6124']"
GCA_013343135.1_CDS_4752,"['GCA_013343135.1_CDS_4752', 'GCA_016027035.1_CDS_6089', 'GCA_016403305.1_CDS_5702', 'GCA_016728825.1_CDS_2364', 'GCA_022870085.1_CDS_4346', 'GCA_027529815.1_CDS_1377']"
GCA_027922385.1_CDS_3510,['GCA_027922385.1_CDS_3510']
GCA_017745625.1_CDS_4635,['GCA_017745625.1_CDS_4635']
GCA_001299335.1_CDS_1670,['GCA_001299335.1_CDS_1670']
GCA_001815885.1_CDS_0879,"['GCA_001815885.1_CDS_0879', 'GCA_013413495.1_CDS_5795']"
AC5204_G1324_CDS_0871,['AC5204_G1324_CDS_0871']
GCA_001299195.1_CDS_1815,"['GCA_001298795.1_CDS_1911', 'GCA_001299195.1_CDS_1815']"
G1414_CDS_3523,"['G1413_CDS_2033', 'G1414_CDS_3523']"
GCA_900009125.1_CDS_2124,['GCA_900009125.1_CDS_2124']
EHA_G1407_CDS_5907,"['EHA_G1407_CDS_5907', 'EHB_G1408_CDS_5907', 'EHC_G1409_CDS_5911', 'EHD_G1410_CDS_5903', 'GCA_001299175.1_CDS_1128']"
GCA_001641525.1_CDS_3580,"['GCA_001566985.1_CDS_4977', 'GCA_001641525.1_CDS_3580', 'GCA_017745625.1_CDS_0570', 'GCA_027922385.1_CDS_3304', 'GCF_001641525.1_CDS_3666', 'GCF_009363015.1_CDS_4997']"
GCF_029837835.1_CDS_5980,"['GCA_029837755.1_CDS_5730', 'GCF_029837835.1_CDS_5980', 'NJ810_G1325_CDS_4390']"
G1413_CDS_6279,['G1413_CDS_6279']
GCA_027529815.1_CDS_1942,"['GCA_001566985.1_CDS_1977', 'GCA_001641525.1_CDS_2974', 'GCA_001957065.1_CDS_2368', 'GCA_025818255.1_CDS_4938', 'GCA_027529815.1_CDS_1942', 'GCA_033096405.1_CDS_2418', 'GCF_001641525.1_CDS_3046']"
AC5204_G1324_CDS_7055,['AC5204_G1324_CDS_7055']
GCA_001559195.2_CDS_2555,"['GCA_001559195.2_CDS_2555', 'GCA_013282235.1_CDS_2714']"
GCA_016599195.1_CDS_3372,"['GCA_013413495.1_CDS_5931', 'GCA_016599195.1_CDS_3372']"
GCA_027529585.1_CDS_4438,['GCA_027529585.1_CDS_4438']
PCF1_G1423_CDS_3287,"['PCF1_G1417_CDS_2792', 'PCF1_G1423_CDS_3287']"
JMCD_G1432_CDS_3319,['JMCD_G1432_CDS_3319']
GCA_001810925.1_CDS_3551,['GCA_001810925.1_CDS_3551']
G1412_CDS_4018,['G1412_CDS_4018']
GCA_001654705.1_CDS_1735,"['GCA_001654705.1_CDS_1735', 'GCF_001654705.1_CDS_1804']"
JMCD_G1433_CDS_4892,"['JMCD_G1432_CDS_0940', 'JMCD_G1433_CDS_4892']"
GCA_001558755.2_CDS_6103,['GCA_001558755.2_CDS_6103']
GCA_040438975.1_CDS_4401,['GCA_040438975.1_CDS_4401']
GCA_003503255.1_CDS_3856,"['GCA_003503255.1_CDS_3856', 'GCA_014353695.1_CDS_3866', 'GCA_014490035.1_CDS_1731', 'GCA_014529725.1_CDS_2978']"
GCA_001299265.1_CDS_1146,"['GCA_001299155.1_CDS_4453', 'GCA_001299265.1_CDS_1146']"
GCF_009363015.1_CDS_1628,['GCF_009363015.1_CDS_1628']
GCA_017745625.1_CDS_3247,"['GCA_000165835.1_CDS_4606', 'GCA_017745625.1_CDS_3247']"
GCA_001957065.1_CDS_0667,"['GCA_001051055.1_CDS_0160', 'GCA_001957065.1_CDS_0667']"
EHA_G1407_CDS_2216,"['EHA_G1407_CDS_2216', 'EHB_G1408_CDS_2391', 'EHC_G1409_CDS_2862', 'EHD_G1410_CDS_2552']"
NJ7201_G1323_CDS_6060,['NJ7201_G1323_CDS_6060']
GCA_040438975.1_CDS_4419,['GCA_040438975.1_CDS_4419']
JMCD_G1433_CDS_3457,['JMCD_G1433_CDS_3457']
NJ7201_G1323_CDS_5556,['NJ7201_G1323_CDS_5556']
JMCD_G1432_CDS_6998,"['GCA_001707485.1_CDS_5096', 'GCF_001707485.1_CDS_5240', 'JMCD_G1432_CDS_6998', 'JMCD_G1433_CDS_6316', 'JMCD_G1433_CDS_6317', 'JMCD_G1434_CDS_6515']"
GCF_002192705.1_CDS_3320,"['GCA_000165835.1_CDS_5895', 'GCF_002192695.1_CDS_1410', 'GCF_002192705.1_CDS_3320']"
EHA_G1407_CDS_4510,"['EHA_G1407_CDS_4510', 'EHB_G1408_CDS_3920', 'EHC_G1409_CDS_2301', 'EHD_G1410_CDS_1379']"
G1414_CDS_1407,"['G1412_CDS_4275', 'G1414_CDS_1407']"
GCA_034078005.1_CDS_5286,"['GCA_001299055.1_CDS_3674', 'GCA_034078005.1_CDS_5286']"
JMCD_G1432_CDS_5373,['JMCD_G1432_CDS_5373']
GCA_001558755.2_CDS_4576,['GCA_001558755.2_CDS_4576']
GCA_000165835.1_CDS_0252,['GCA_000165835.1_CDS_0252']
AC5204_G1324_CDS_5224,"['AC5204_G1324_CDS_5224', 'GCA_038024685.1_CDS_2823', 'JMCD_G1432_CDS_4336', 'JMCD_G1433_CDS_1455', 'JMCD_G1434_CDS_1491']"
GCA_000165835.1_CDS_6674,"['GCA_000165835.1_CDS_6674', 'GCA_003293615.1_CDS_5657', 'GCF_009363015.1_CDS_5420']"
GCA_001299195.1_CDS_5979,"['GCA_001298795.1_CDS_6243', 'GCA_001299195.1_CDS_5979', 'GCF_002192695.1_CDS_2454']"
GCA_032703345.1_CDS_5774,"['GCA_001299055.1_CDS_5007', 'GCA_032703345.1_CDS_5774']"
JMCD_G1433_CDS_1167,"['AC5204_G1324_CDS_5528', 'JMCD_G1433_CDS_1167']"
GCA_027529815.1_CDS_3791,['GCA_027529815.1_CDS_3791']
GCA_001566985.1_CDS_4706,['GCA_001566985.1_CDS_4706']
GCA_003293615.1_CDS_5713,"['GCA_000165835.1_CDS_6741', 'GCA_003293615.1_CDS_5713']"
GCA_001299195.1_CDS_2083,"['GCA_001298795.1_CDS_0751', 'GCA_001298795.1_CDS_4349', 'GCA_001299195.1_CDS_0157', 'GCA_001299195.1_CDS_2083', 'GCA_001299235.1_CDS_0437']"
